stationNumber,stationName,latitude,longitude,date,precip_in,aorc_in
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-01-01,0.5,0.5905511899022606
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-01-02,0.29,0.1692913411053147
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-01-19,0.41,0.3740157536047651
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-01-20,0.48,0.2716535473550399
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-02-01,0.66,0.4488189043257181
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-02-03,0.21,0.14960630144190604
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-02-09,0.6,0.30708661874917553
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-03-06,0.52,0.6023622137003058
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-03-07,0.24,0.04330708725949911
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-03-18,2.3,0.17322834903799644
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-03-21,0.39,0.3622047298067198
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-03-22,0.06,0.0
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-03-29,0.02,0.023622047596090427
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-01,0.33,0.3110236266818573
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-02,0.09,0.023622047596090424
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-03,0.15,0.3070866187491755
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-04,0.16,0.0
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-06,0.76,0.523622055046671
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-08,0.58,0.25590551562431296
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-11,0.07,0.12204724591313386
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-12,0.3,0.2913385870184486
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-13,0.22,0.7874015865363474
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-04-27,1.64,0.27952756322040334
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-05-02,0.46,0.5354330788447162
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-05-07,0.19,0.007874015865363475
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-05-10,1.32,0.4763779598544902
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,2025-05-23,4.05,1.393700808169335
