stationNumber,stationName,latitude,longitude,n_days,corr,gauge_total_in,aorc_total_in,bias_in,pct_bias
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,147,0.7409780525365608,18.89,20.846457003549794,1.9564570035497937,10.35710430677498
MA-BA-117,Falmouth 4.8 N,41.6145087,-70.6233059,130,0.7132978059626112,20.08,19.72834675066818,-0.3516532493318181,-1.7512612018516838
MA-BA-101,North Falmouth 1.2 SE,41.6328232,-70.614358,21,0.7113839917183742,9.070000000000002,6.669291437962863,-2.4007085620371393,-26.468672128303623
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,54,0.6941369704870084,30.06,18.02755932374967,-12.032440676250328,-40.02807942864381
MA-BA-113,Falmouth 3.2 WSW,41.53048,-70.66651,71,0.688574212965746,15.620000000000001,13.444882090108132,-2.1751179098918687,-13.925210690728992
MA-BA-112,North Falmouth 1.0 NE,41.651097,-70.619223,129,0.6558975676342231,16.07,18.40551208528712,2.335512085287121,14.533367052191169
MA-BA-57,Falmouth 5.7 N,41.628365,-70.623234,353,0.6409898928273351,43.57000000000001,42.011811649646816,-1.5581883503531913,-3.5762872397364953
MA-BA-105,Falmouth 4.9 NNW,41.6104,-70.6463,328,0.6256384258678099,38.59,33.92126034798585,-4.668739652014153,-12.098314724058442
MA-BA-50,Falmouth 5.4 NNE,41.622586,-70.582703,331,0.6209648141230513,36.269999999999996,38.20472497874357,1.9347249787435743,5.334229332074923
MA-BR-52,New Bedford 4.3 N,41.72305,-70.944,361,0.620861819726623,42.709999999999994,46.62598494674981,3.9159849467498162,9.168777679114532
MA-BA-17,East Falmouth 1.2 WNW,41.582808,-70.580293,331,0.6166514654780112,33.74,32.61417371433551,-1.1258262856644947,-3.3367702598236355
MA-BA-109,N Falmouth 0.7 E,41.643684,-70.608876,363,0.6054309656590015,44.879999999999995,42.657480950606626,-2.2225190493933695,-4.952136919325691
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,364,0.6017246609709911,45.08,40.767717142919395,-4.3122828570806035,-9.565844847117576
MA-BA-87,Falmouth 1.5 NNW,41.566667,-70.615556,350,0.6010532729347637,42.67,40.23622107200735,-2.4337789279926483,-5.703723759064093
MA-PL-63,Wareham 5.6 NE,41.800413009,-70.632944092,365,0.5972310690342871,51.769999999999996,49.26378026164657,-2.5062197383534226,-4.841065749185673
MA-BA-2,Falmouth 3.1 NNW,41.5871,-70.6321,365,0.5966132597041002,44.44,41.54330770565769,-2.8966922943423086,-6.518209483218516
MA-BR-79,Fairhaven 1.9 ENE,41.64602,-70.86737,185,0.5951801657187148,23.3,23.539370429504103,0.2393704295041026,1.0273408991592385
MA-PL-66,Marion 1.3 N,41.7223161,-70.7591872,332,0.5495395098274726,39.239999999999995,40.37007934171854,1.1300793417185417,2.8799167729830324
MA-BA-3,Falmouth 3.0 E,41.553061,-70.550358,364,0.5457161672600136,43.48,40.60236280974676,-2.877637190253239,-6.618300805550228
MA-BR-18,Fairhaven 2.2 ESE,41.6219,-70.8667,278,0.45971185020678607,33.17,31.771654016741618,-1.398345983258384,-4.215694854562508
MA-BR-14,Dartmouth 2.5 SSW,41.534589,-71.021972,365,0.4375351842544009,38.98,42.75590614892367,3.7759061489236743,9.686778216838569
