stationNumber,stationName,latitude,longitude,date,precip_in,hrrr_day1_in,hrrr_day2_in
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-20,0.0,0.009095487,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-21,0.03,0.051658925,0.13195598
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-22,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-23,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-25,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-27,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-28,0.0,3.9335548e-05,0.23682772
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-30,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-01,0.26,0.23242556,0.23936866
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-02,0.13,0.04697245,0.0588238
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-03,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-04,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-05,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-06,0.0,0.0,3.9335548e-05
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-08,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-09,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-10,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-11,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-12,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-13,0.0,0.0,0.0049982546
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-14,0.0,0.0015322383,0.0022070145
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-15,0.0,0.0013389925,0.6434873
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-16,0.0,0.0,0.00035454793
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-18,0.04,0.007822758,0.057090927
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-19,0.0,0.0011425788,0.00062936876
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-20,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-21,1.08,1.569081,2.2979631
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-22,0.0,0.008346528,0.06753676
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-23,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-24,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-25,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-26,0.0,0.0048306165,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-27,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-28,0.01,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-29,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-31,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-01,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-02,0.0,0.0,0.00039282747
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-03,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-04,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-05,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-06,0.02,0.0027540163,0.0019683612
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-07,0.01,0.052588195,0.017166138
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-08,0.7,0.17956017,0.7127073
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-09,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-10,0.0,0.00078565493,0.070100695
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-11,0.0,0.0047981446,0.22936055
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-12,0.0,0.0,0.0003548119
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-13,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-14,0.0,0.0,0.014969683
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-16,0.0,0.0,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-17,0.0,0.0,0.00039282747
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-18,0.79,0.13342196,0.028300473
