stationNumber,stationName,n,r_day1,bias_day1_in,r_day2,bias_day2_in
MA-BR-14,Dartmouth 2.5 SSW,212,0.6960847811176498,0.012871421478127356,0.6727438344664451,0.06788960701539623
MA-BR-18,Fairhaven 2.2 ESE,143,0.630422086677046,-0.04911078009665735,0.642005551670164,0.015384296130069934
MA-BR-52,New Bedford 4.3 N,216,0.6932295019172889,-0.013130554327245372,0.6234737779643796,0.05183406313381481
MA-BR-79,Fairhaven 1.9 ENE,94,0.6342407539303239,-0.10416577130085106,0.5964348187849553,-0.025215583789382975
MA-PL-63,Wareham 5.6 NE,235,0.7333244492456251,-0.0652911686460298,0.7473840513852359,-0.012665586492234052
MA-PL-66,Marion 1.3 N,172,0.7087163278589,-0.060851489302017434,0.7137187775409275,0.003415626587476744
MA-BA-115,Pocasset 1.0 NNW,114,0.7830445488080962,-0.013548445800570188,0.7263833816127868,0.0027682545193684206
MA-BA-101,North Falmouth 1.2 SE,29,0.6639442078273011,-0.07645337148275862,0.6776846290238842,-0.06310861055172416
MA-BA-109,N Falmouth 0.7 E,214,0.7981738049693807,-0.0462450502475327,0.7681836220733028,-0.00715829102908879
MA-BA-112,North Falmouth 1.0 NE,87,0.6710078059789906,-0.016465191465287354,0.7353803622669957,0.060800443972873555
MA-BA-105,Falmouth 4.9 NNW,163,0.787751573513224,-0.05387735604052761,0.7940522236250654,-0.009125903788171779
MA-BA-113,Falmouth 3.2 WSW,60,0.6467633136446437,-0.121854572967,0.661487561378636,-0.17368216183166663
MA-BA-57,Falmouth 5.7 N,202,0.6932791265434209,-0.0694841714635,0.7797259012045585,-0.038114358448633666
MA-BA-2,Falmouth 3.1 NNW,210,0.7256215333037859,-0.04756658779480476,0.7856159494728354,-0.026085658292690477
MA-BA-87,Falmouth 1.5 NNW,202,0.7526358266141642,-0.040319090968222775,0.780332402751568,-0.008820803081683176
MA-BA-13,Falmouth 0.6 NNW,206,0.7317750803117931,-0.0597235078271796,0.793261036831136,-0.03924380242685437
